Problem name,Problem-level skill,"Problem's ""Description"" / node name",Problem's parents/prereqs: names of the nodes that *must have been visited at least once* before this problem is displayed  --  leave cell blank if problem has no prereqs,Number of duplicates needed for this problem,SWF file name,BRD file name
naming_SM_problem1,whyNeedFractions_SM,whyNeedFractions_SM,,1,FractionsSenseMaking_Final_na_1.swf,FractionsSenseMaking_Final_na_1.brd
naming_SM_problem3,whyNeedFractions_SM,whyNeedFractions_SM,,1,FractionsSenseMaking_Final_na_3.swf,FractionsSenseMaking_Final_na_3.brd
naming_SM_problem5,making_SM_numberline,making_SM_numberline,whyNeedFractions_SM,1,FractionsSenseMaking_Final_na_5.swf,FractionsSenseMaking_Final_na_5.brd
naming_SM_problem7,naming_SM_numberline,naming_SM_numberline,whyNeedFractions_SM,1,FractionsSenseMaking_Final_na_7.swf,FractionsSenseMaking_Final_na_7.brd
makingFractionsNL_IR_01watermelon,makingFractions_IR_numberline,makingFractions_IR_numberline,whyNeedFractions_SM,1,makingIdentification_IR.swf,makingIdentifying_IR_01watermelon.brd
makingFractionsNL_IR_02watermelon,makingFractions_IR_numberline,makingFractions_IR_numberline,whyNeedFractions_SM,1,makingIdentification_IR.swf,makingIdentifying_IR_02watermelon.brd
namingFractionsNL_IR_2-3_2-5,namingFractions_IR_numberline,namingFractions_IR_numberline,whyNeedFractions_SM,1,nameNL_comp2_3-5_3-7.swf,namingNL_IR_2-3_2-5_comp2.brd
namingFractionsNL_IR_3-5_3-7,namingFractions_IR_numberline,namingFractions_IR_numberline,whyNeedFractions_SM,1,nameNL_comp2_3-5_3-7.swf,namingNL_IR_3-5_3-7_comp2.brd
equivalentFractionsNL_IR_01_1,equivalentFractions_IR_numberline,equivalentFractions_IR_numberline,namingFractions_IR_numberline; makingFractions_IR_numberline;making_SM_numberline;naming_SM_numberline,1,equivalence_IR.swf,equivalence_IR_01_1.brd
equivalentFractionsNL_IR_02_2,equivalentFractions_IR_numberline,equivalentFractions_IR_numberline,namingFractions_IR_numberline; makingFractions_IR_numberline;making_SM_numberline;naming_SM_numberline,1,equivalence_IR.swf,equivalence_IR_02_2.brd
addition_SM_problem1,addition_SM_numberline_sameDenom,addition_SM_numberline_sameDenom,namingFractions_IR_numberline; makingFractions_IR_numberline;making_SM_numberline;naming_SM_numberline,1,FractionsSenseMaking_Final_ad_1.swf,FractionsSenseMaking_Final_ad_1.brd
reducingFractions_SM_problem1,fractionReduction_SM_numberline_maxOneDivision,fractionReduction_SM,equivalentFractions_IR_numberline,1,FractionsSenseMaking_Final_re_1.swf,FractionsSenseMaking_Final_re_1.brd
commonDenominator_SM_problem1,commonDenominator_SM_symbolic,commonDenominator_SM,equivalentFractions_IR_numberline,1,FractionsSenseMaking_Final_cd_1.swf,FractionsSenseMaking_Final_cd_1.brd
fractionReduction_IR_2-4,fractionReduction_IR_symbolic_maxOneDivision,fractionReduction_IR_symbolic_maxOneDivision,equivalentFractions_IR_numberline,1,fraction_reduction_fluency.swf,fracReduce_2-4.brd
fractionReduction_IR_2-6,fractionReduction_IR_symbolic_maxOneDivision,fractionReduction_IR_symbolic_maxOneDivision,equivalentFractions_IR_numberline,1,fraction_reduction_fluency.swf,fracReduce_2-6.brd
commonDenominator_IR_4-3,commonDenominator_IR_symbolic,commonDenominator_IR,commonDenominator_SM,1,common_denominator_IR.swf,commonDenom_IR_4_3.brd
commonDenominator_IR_4-5,commonDenominator_IR_symbolic,commonDenominator_IR,commonDenominator_SM,1,common_denominator_IR.swf,commonDenom_IR_4_5.brd
addition_SM_problem2,addition_SM_numberline_diffDenom,addition_SM_numberline_diffDenom,commonDenominator_SM;addition_SM_numberline_sameDenom,1,FractionsSenseMaking_Final_ad_2.swf,FractionsSenseMaking_Final_ad_2.brd
addition_IR_problem_1-6_2-3,addition_IR_symbolic_oneDenomMult,addition_IR_symbolic_oneDenomMult,fractionReduction_SM; commonDenominator_IR,1,FractAddition_T4andT5.swf,T4-16plus23.brd
addition_IR_problem_3-8_1-16,addition_IR_symbolic_oneDenomMult,addition_IR_symbolic_oneDenomMult,fractionReduction_SM; commonDenominator_IR,1,FractAddition_T4andT5.swf,T4-38plus116.brd
